user_id,occurred_at,action,user_type
0,2022-05-06 09:30:00,sent_weekly_digest,1
0,2022-05-13 09:30:00,sent_weekly_digest,1
0,2022-05-20 09:30:00,sent_weekly_digest,1
0,2022-05-27 09:30:00,sent_weekly_digest,1
0,2022-06-03 09:30:00,sent_weekly_digest,1
0,2022-06-03 09:30:00,email_open,1
0,2022-06-10 09:30:00,sent_weekly_digest,1
0,2022-06-10 09:30:00,email_open,1
0,2022-06-17 09:30:00,sent_weekly_digest,1
0,2022-06-17 09:30:00,email_open,1
0,2022-06-24 09:30:00,sent_weekly_digest,1
0,2022-07-01 09:30:00,sent_weekly_digest,1
0,2022-07-08 09:30:00,sent_weekly_digest,1
0,2022-07-15 09:30:00,sent_weekly_digest,1
0,2022-07-22 09:30:00,sent_weekly_digest,1
0,2022-07-29 09:30:00,sent_weekly_digest,1
0,2022-07-29 09:30:00,email_open,1
0,2022-08-05 09:30:00,sent_weekly_digest,1
0,2022-08-12 09:30:00,sent_weekly_digest,1
0,2022-08-19 09:30:00,sent_weekly_digest,1
0,2022-08-19 09:30:00,email_open,1
0,2022-08-26 09:30:00,sent_weekly_digest,1
4,2022-05-06 09:30:00,sent_weekly_digest,3
4,2022-05-13 09:30:00,sent_weekly_digest,3
4,2022-05-13 09:30:00,email_open,3
4,2022-05-13 09:31:00,email_clickthrough,3
4,2022-05-20 09:30:00,sent_weekly_digest,3
4,2022-05-20 09:30:00,email_open,3
4,2022-05-20 09:31:00,email_clickthrough,3
4,2022-05-27 09:30:00,sent_weekly_digest,3
4,2022-06-03 09:30:00,sent_weekly_digest,3
4,2022-06-10 09:30:00,sent_weekly_digest,3
4,2022-06-17 09:30:00,sent_weekly_digest,3
4,2022-06-24 09:30:00,sent_weekly_digest,3
4,2022-06-24 09:30:00,email_open,3
4,2022-06-24 09:31:00,email_clickthrough,3
4,2022-07-01 09:30:00,sent_weekly_digest,3
4,2022-07-01 09:30:00,email_open,3
4,2022-07-01 09:30:00,email_clickthrough,3
4,2022-07-08 09:30:00,sent_weekly_digest,3
4,2022-07-15 09:30:00,sent_weekly_digest,3
4,2022-07-22 09:30:00,sent_weekly_digest,3
4,2022-07-29 09:30:00,sent_weekly_digest,3
4,2022-08-05 09:30:00,sent_weekly_digest,3
4,2022-08-12 09:30:00,sent_weekly_digest,3
4,2022-08-12 09:30:00,email_open,3
4,2022-08-19 09:30:00,sent_weekly_digest,3
4,2022-08-26 09:30:00,sent_weekly_digest,3
8,2022-05-06 09:30:00,sent_weekly_digest,3
8,2022-05-13 09:30:00,sent_weekly_digest,3
8,2022-05-20 09:30:00,sent_weekly_digest,3
8,2022-05-27 09:30:00,sent_weekly_digest,3
8,2022-06-03 09:30:00,sent_weekly_digest,3
8,2022-06-03 09:30:00,email_open,3
8,2022-06-10 09:30:00,sent_weekly_digest,3
8,2022-06-17 09:30:00,sent_weekly_digest,3
8,2022-06-24 09:30:00,sent_weekly_digest,3
8,2022-07-01 09:30:00,sent_weekly_digest,3
8,2022-07-08 09:30:00,sent_weekly_digest,3
8,2022-07-08 09:30:00,email_open,3
8,2022-07-15 09:30:00,sent_weekly_digest,3
8,2022-07-22 09:30:00,sent_weekly_digest,3
8,2022-07-29 09:30:00,sent_weekly_digest,3
8,2022-07-29 09:30:00,email_open,3
